Radiated Heat Times Area (W),Thermal Conductivity of Area (W.mK),Thermal Diffusivity of Area (m2/s),Temperature of Area (K),Best Circle Radius (Pixels),Best Circle Accumulator Score,Best Circle X Position (Pixels),Best Circle Y Position (Pixels),Best Circle Distance from Centre (Pixels)
37.89982269440001,0.21289200269291894,5.473386967060035e-06,307.6061546589161,69.0,0.3825000000000003,63.0,58.0,6.082762530298219
36.631275110400004,0.21286279576487377,5.4733721922852366e-06,307.2429562640642,69.0,0.3075000000000002,64.0,62.0,2.0
36.91666472960001,0.2128693847120786,5.473375299489443e-06,307.32477859632917,69.0,0.2950000000000002,72.0,64.0,8.0
38.878806016000006,0.2129144010396472,5.473400103316557e-06,307.885570809307,69.0,0.32750000000000024,68.0,62.0,4.47213595499958
38.065445273600005,0.2128958006446491,5.473389081727991e-06,307.65347928925837,69.0,0.32750000000000024,68.0,62.0,4.47213595499958
37.75726223360001,0.2128887307604129,5.473385181584805e-06,307.5654022481988,69.0,0.2725000000000002,70.0,65.0,6.082762530298219
38.68122152960001,0.21290989035369232,5.473397327893026e-06,307.8292385722931,69.0,0.3125000000000002,72.0,64.0,8.0
37.16622581760001,0.2128751378079079,5.4733781189399436e-06,307.39627522423166,69.0,0.32000000000000023,64.0,62.0,2.0
37.634670592000006,0.21288591504241391,5.473383671794008e-06,307.53034517596325,69.0,0.2975000000000002,66.0,62.0,2.8284271247461903
37.9864481792,0.21289398957348277,5.473388067670831e-06,307.63090955808576,69.0,0.2875000000000002,72.0,64.0,8.0
38.61417164800001,0.21290835852770795,5.4733964004302144e-06,307.8101153157437,69.0,0.32250000000000023,72.0,64.0,8.0
38.8955308032,0.21291478262339839,5.473400341156703e-06,307.8903377031159,69.0,0.35000000000000026,68.0,69.0,6.4031242374328485
37.08396503040001,0.21287324235329944,5.473377178988098e-06,307.37271388557326,69.0,0.32000000000000023,64.0,62.0,2.0
38.41521745920001,0.21290380982037488,5.473393691082306e-06,307.7533507222433,69.0,0.3100000000000002,64.0,62.0,2.0
